"Step","ddpo_trainer_config.train_learning_rate: 0.00005 - tail_validation/barracouta_mean","ddpo_trainer_config.train_learning_rate: 0.00005 - tail_validation/barracouta_mean__MIN","ddpo_trainer_config.train_learning_rate: 0.00005 - tail_validation/barracouta_mean__MAX"
"4","-0.5865148305892944","-0.7278673052787781","-0.4351638853549957"
"8","-0.767367884516716","-0.9203227162361145","-0.6068649291992188"
"12","-0.3946117088198662","-0.5632251501083374","-0.27990204095840454"
"16","-0.5586013197898865","-0.8429353833198547","-0.3696518838405609"
"20","-0.5815635770559311","-0.8238386511802673","-0.4661925435066223"
"24","-0.49843303859233856","-0.6629313826560974","-0.3240322768688202"
"28","-0.4734237268567085","-0.6745137572288513","-0.3598131835460663"
"32","-0.6774027049541473","-0.7328501343727112","-0.5362574458122253"
"36","-0.44671255350112915","-0.7805356383323669","-0.2655080556869507"
"40","-0.4787489138543606","-0.5905905365943909","-0.23219989240169525"
"44","-0.6595130115747452","-0.7299015522003174","-0.5723133683204651"
"48","-0.4537992477416992","-0.5781375765800476","-0.3626514971256256"
"52","-0.43526823073625565","-0.5208820104598999","-0.2917657792568207"
"56","-0.4662332236766815","-0.5896751284599304","-0.3562028110027313"
"60","-0.457095131278038","-0.5267813205718994","-0.40142497420310974"
"64","-0.5154288224875927","-0.7719237208366394","-0.2174958735704422"
"68","-0.45318731665611267","-0.5148836970329285","-0.4257452189922333"
"72","-0.43559789657592773","-0.6700043082237244","-0.2318892478942871"
"76","-0.3970623053610325","-0.6606831550598145","-0.15332044661045074"
"80","-0.3904566215351224","-0.6233530640602112","-0.041175175458192825"
"84","-0.4723832309246063","-0.5115144848823547","-0.4052489697933197"
"88","-0.3396468944847584","-0.4564206302165985","-0.2355373352766037"
"92","-0.4192971773445606","-0.7099153399467468","-0.17681442201137543"
"96","-0.33898958563804626","-0.478014200925827","-0.2736491858959198"
"100","-0.40120644867420197","-0.519547164440155","-0.22711968421936035"
"104","-0.30668503418564796","-0.4751462936401367","-0.17388969659805298"
"108","-0.4029487557709217","-0.5770487785339355","-0.1774933785200119"
"112","-0.3473638463765383","-0.6027471423149109","-0.0946638360619545"
"116","-0.31402651965618134","-0.5762388110160828","-0.17458109557628632"
"120","-0.3582414612174034","-0.45748528838157654","-0.29442697763442993"
"124","-0.18245128262788057","-0.4076533317565918","0.04376746341586113"
"128","-0.17165322153596207","-0.46968647837638855","0.0013726383913308382"
"132","-0.32508084923028946","-0.4525361657142639","-0.17619183659553528"
"136","-0.33942312002182007","-0.4586878716945648","-0.24320781230926514"
"140","-0.11413237871602178","-0.44531258940696716","0.07536788284778595"
"144","-0.2547059152275324","-0.5229095220565796","-0.03561899811029434"
"148","-0.2614099390775664","-0.4077011048793793","-0.0007939964416436851"
"152","-0.1833038330078125","-0.4621748924255371","0.04224029928445816"
"156","-0.24320377223193645","-0.4465022087097168","-0.08348064869642258"
"160","-0.04630771838128567","-0.25803735852241516","0.2226366102695465"
"164","-0.03602500073611736","-0.2572849690914154","0.369216650724411"
"168","-0.05973306205123663","-0.18455561995506287","0.05578548461198807"
"172","-0.09943993296474218","-0.2639661431312561","0.05418694019317627"
"176","-0.19831539131700993","-0.37445998191833496","-0.089802585542202"
"180","-0.028604627354070544","-0.313585489988327","0.16854847967624664"
"184","-0.045313446782529354","-0.30164632201194763","0.23362521827220917"
"188","-0.03925557847833261","-0.19373641908168793","0.08312629908323288"
"192","-0.010880552232265472","-0.18259254097938538","0.14345355331897736"
"196","0.03497895039618015","-0.11759080737829208","0.23440991342067719"
"200","-0.0076511941879289225","-0.20303116738796234","0.254387766122818"
"204","0.057884881272912025","0.016796816140413284","0.11963649839162827"
"208","0.026569184847176075","-0.08621642738580704","0.0905282124876976"
"212","-0.005260890582576394","-0.1808796375989914","0.2935904562473297"
"216","-0.006322996690869331","-0.22270245850086212","0.18907158076763153"
"220","0.26984973438084126","0.10367577522993088","0.4260813891887665"
"224","0.3099735155701637","0.24778476357460022","0.4000244140625"
"228","0.22102775983512402","0.03779856115579605","0.35331255197525024"
"232","0.2852615350857377","-0.04560812935233116","0.45211219787597656"
"236","0.1475328840315342","0.06937607377767563","0.21202833950519562"
"240","0.20877765864133835","-0.16233988106250763","0.4189513325691223"
"244","0.11778265447355807","-0.011308721266686916","0.3639795482158661"
"248","0.21548515418544412","0.013940298929810524","0.4868950843811035"
"252","0.25837012007832527","0.1651201993227005","0.35330042243003845"
"256","0.3491024002432823","0.23511603474617004","0.43398523330688477"
"260","0.33382960222661495","0.1060451790690422","0.4778979420661926"
"264","0.28927259892225266","0.1893339306116104","0.3892112672328949"
"268","0.35968995094299316","0.33068737387657166","0.3886925280094147"
"272","0.40060341358184814","0.3681878447532654","0.4330189824104309"
"276","0.550942063331604","0.550942063331604","0.550942063331604"
"280","0.477177232503891","0.477177232503891","0.477177232503891"
"284","-0.00957345962524414","-0.00957345962524414","-0.00957345962524414"
"288","0.39036744832992554","0.39036744832992554","0.39036744832992554"
"292","0.26014620065689087","0.26014620065689087","0.26014620065689087"