"Step","ddpo_trainer_config.train_learning_rate: 0.00005 - tail_validation/spotted salamander_mean","ddpo_trainer_config.train_learning_rate: 0.00005 - tail_validation/spotted salamander_mean__MIN","ddpo_trainer_config.train_learning_rate: 0.00005 - tail_validation/spotted salamander_mean__MAX"
"4","1.5181497037410736","0.8071595430374146","1.8486346006393433"
"8","1.278252512216568","0.5996490716934204","1.6329526901245117"
"12","1.3556072413921356","0.5239356756210327","1.756064534187317"
"16","1.4527106583118439","1.259063482284546","1.827498197555542"
"20","1.6725564301013947","1.6186001300811768","1.7731457948684692"
"24","1.591210126876831","1.4203912019729614","1.7474344968795776"
"28","1.5140924155712128","0.9737979173660278","1.7580804824829102"
"32","1.6023115515708923","1.4194488525390625","1.8240901231765747"
"36","1.7258391678333282","1.656064510345459","1.7606620788574219"
"40","1.740030974149704","1.6843332052230835","1.78941011428833"
"44","1.6802639961242676","1.5531920194625854","1.7676301002502441"
"48","1.651003360748291","1.4823888540267944","1.8120287656784058"
"52","1.743984580039978","1.6338497400283813","1.8326722383499146"
"56","1.6320162415504456","1.5140107870101929","1.7982237339019775"
"60","1.7480852007865906","1.714512586593628","1.789803147315979"
"64","1.706844836473465","1.6288809776306152","1.822538137435913"
"68","1.7019513547420502","1.550713062286377","1.8006553649902344"
"72","1.5768162310123444","1.406325340270996","1.7103387117385864"
"76","1.6193605661392212","1.5804057121276855","1.6693452596664429"
"80","1.5861290395259857","1.3682290315628052","1.701521635055542"
"84","1.7779504656791687","1.725662112236023","1.8238343000411987"
"88","1.649925023317337","1.4521805047988892","1.8001705408096313"
"92","1.517490416765213","1.0665557384490967","1.844394564628601"
"96","1.680830866098404","1.5044900178909302","1.781043529510498"
"100","1.6628490686416626","1.5416918992996216","1.7982121706008911"
"104","1.7455584704875946","1.6533342599868774","1.8552665710449219"
"108","1.7164851129055023","1.6303503513336182","1.8346505165100098"
"112","1.3033585511147976","0.19290803372859955","1.7216627597808838"
"116","1.2890547066926956","0.8319634795188904","1.6784147024154663"
"120","1.7053959667682648","1.6179821491241455","1.7728945016860962"
"124","1.7580623626708984","1.6540130376815796","1.8283286094665527"
"128","1.7512946426868439","1.6279486417770386","1.8176766633987427"
"132","1.4928414225578308","1.3170952796936035","1.6619306802749634"
"136","1.7500827312469482","1.7116477489471436","1.7747339010238647"
"140","1.7138226926326752","1.6491731405258179","1.8016661405563354"
"144","1.4188285619020462","0.9297201037406921","1.7771662473678589"
"148","1.710122436285019","1.5626963376998901","1.8348925113677979"
"152","1.6526718437671661","1.6277862787246704","1.7126517295837402"
"156","1.6640459895133972","1.49365234375","1.785169005393982"
"160","1.7408102452754974","1.7217084169387817","1.7744330167770386"
"164","1.7035603523254395","1.4502822160720825","1.8680169582366943"
"168","1.7239494919776917","1.5654093027114868","1.7975211143493652"
"172","1.7490154504776","1.6660585403442383","1.8726834058761597"
"176","1.7843525111675262","1.7367173433303833","1.8381743431091309"
"180","1.58728888630867","1.0340768098831177","1.8196080923080444"
"184","1.691573053598404","1.5436137914657593","1.7948102951049805"
"188","1.7966271936893463","1.7621432542800903","1.8622241020202637"
"192","1.7982439994812012","1.7489243745803833","1.8601441383361816"
"196","1.757966011762619","1.7222083806991577","1.7966077327728271"
"200","1.77479687333107","1.7176231145858765","1.8041099309921265"
"204","1.664930135011673","1.4761713743209839","1.8130548000335693"
"208","1.7744067013263702","1.7113747596740723","1.8209165334701538"
"212","1.716606229543686","1.63955557346344","1.7678096294403076"
"216","1.7927512526512146","1.7254443168640137","1.8424758911132812"
"220","1.7900915741920471","1.7352882623672485","1.8354864120483398"
"224","1.7829667329788208","1.673892617225647","1.8595274686813354"
"228","1.7236382961273193","1.6151783466339111","1.8550045490264893"
"232","1.6915399432182312","1.2754576206207275","1.8666672706604004"
"236","1.811436116695404","1.7047251462936401","1.8652883768081665"
"240","1.8268570005893707","1.7819244861602783","1.862765908241272"
"244","1.7458312511444092","1.614607334136963","1.8675297498703003"
"248","1.8483793437480927","1.825945496559143","1.862105369567871"
"252","1.8178655803203583","1.8048243522644043","1.8373557329177856"
"256","1.8393523395061493","1.7828232049942017","1.875807285308838"
"260","1.7478840947151184","1.7017971277236938","1.77843177318573"
"264","1.7994426488876343","1.739685297012329","1.8592000007629395"
"268","1.6921111941337585","1.6727851629257202","1.7114372253417969"
"272","1.7816054224967957","1.7449928522109985","1.8182179927825928"
"276","1.8675520420074463","1.8675520420074463","1.8675520420074463"
"280","1.7318593263626099","1.7318593263626099","1.7318593263626099"
"284","1.840065836906433","1.840065836906433","1.840065836906433"
"288","1.8365800380706787","1.8365800380706787","1.8365800380706787"
"292","1.7439286708831787","1.7439286708831787","1.7439286708831787"